Time,outerFrame1.frame_a.r_0[1],outerFrame1.frame_a.r_0[2],outerFrame1.frame_a.r_0[3],"outerFrame1.frame_a.R.T[1, 1]","outerFrame1.frame_a.R.T[1, 2]","outerFrame1.frame_a.R.T[1, 3]","outerFrame1.frame_a.R.T[2, 1]","outerFrame1.frame_a.R.T[2, 2]","outerFrame1.frame_a.R.T[2, 3]","outerFrame1.frame_a.R.T[3, 1]","outerFrame1.frame_a.R.T[3, 2]","outerFrame1.frame_a.R.T[3, 3]",Revolute1.frame_a.r_0[1],Revolute1.frame_a.r_0[2],Revolute1.frame_a.r_0[3],"Revolute1.frame_a.R.T[1, 1]","Revolute1.frame_a.R.T[1, 2]","Revolute1.frame_a.R.T[1, 3]","Revolute1.frame_a.R.T[2, 1]","Revolute1.frame_a.R.T[2, 2]","Revolute1.frame_a.R.T[2, 3]","Revolute1.frame_a.R.T[3, 1]","Revolute1.frame_a.R.T[3, 2]","Revolute1.frame_a.R.T[3, 3]",innerFrame1.frame_a.r_0[1],innerFrame1.frame_a.r_0[2],innerFrame1.frame_a.r_0[3],"innerFrame1.frame_a.R.T[1, 1]","innerFrame1.frame_a.R.T[1, 2]","innerFrame1.frame_a.R.T[1, 3]","innerFrame1.frame_a.R.T[2, 1]","innerFrame1.frame_a.R.T[2, 2]","innerFrame1.frame_a.R.T[2, 3]","innerFrame1.frame_a.R.T[3, 1]","innerFrame1.frame_a.R.T[3, 2]","innerFrame1.frame_a.R.T[3, 3]",Revolute2.frame_a.r_0[1],Revolute2.frame_a.r_0[2],Revolute2.frame_a.r_0[3],"Revolute2.frame_a.R.T[1, 1]","Revolute2.frame_a.R.T[1, 2]","Revolute2.frame_a.R.T[1, 3]","Revolute2.frame_a.R.T[2, 1]","Revolute2.frame_a.R.T[2, 2]","Revolute2.frame_a.R.T[2, 3]","Revolute2.frame_a.R.T[3, 1]","Revolute2.frame_a.R.T[3, 2]","Revolute2.frame_a.R.T[3, 3]",innerRotor1.frame_a.r_0[1],innerRotor1.frame_a.r_0[2],innerRotor1.frame_a.r_0[3],"innerRotor1.frame_a.R.T[1, 1]","innerRotor1.frame_a.R.T[1, 2]","innerRotor1.frame_a.R.T[1, 3]","innerRotor1.frame_a.R.T[2, 1]","innerRotor1.frame_a.R.T[2, 2]","innerRotor1.frame_a.R.T[2, 3]","innerRotor1.frame_a.R.T[3, 1]","innerRotor1.frame_a.R.T[3, 2]","innerRotor1.frame_a.R.T[3, 3]"
0,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,0,0,0.02,1,0,0,0,1,0,0,0,1,0,0,0.02,1,0,0,0,1,0,0,0,1
0.1,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999998719,-0.001600794,0,0.001600794,0.999998719,0,3.20E-05,0.019999974,1,0,0,0,0.999998719,-0.001600794,0,0.001600794,0.999998719,0,3.20E-05,0.019999974,1,6.45E-06,-1.03E-08,-6.45E-06,0.999998719,-0.001600794,0,0.001600794,0.999998719
0.2,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999994406,-0.00334475,0,0.00334475,0.999994406,0,6.69E-05,0.019999888,1,0,0,0,0.999994406,-0.00334475,0,0.00334475,0.999994406,0,6.69E-05,0.019999888,0.999973338,0.007302234,-2.44E-05,-0.007302275,0.999967744,-0.003344661,0,0.00334475,0.999994406
0.3,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999987088,-0.005081668,0,0.005081668,0.999987088,0,0.000101633,0.019999742,1,0,0,0,0.999987088,-0.005081668,0,0.005081668,0.999987088,0,0.000101633,0.019999742,0.999500247,0.031610602,-0.000160637,-0.03161101,0.999487342,-0.005079128,0,0.005081668,0.999987088
0.4,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999976712,-0.006824648,0,0.006824648,0.999976712,0,0.000136493,0.019999534,1,0,0,0,0.999976712,-0.006824648,0,0.006824648,0.999976712,0,0.000136493,0.019999534,0.997343861,0.072835268,-0.000497087,-0.072836964,0.997320634,-0.006806521,0,0.006824648,0.999976712
0.5,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999963139,-0.008586066,0,0.008586066,0.999963139,0,0.000171721,0.019999263,1,0,0,0,0.999963139,-0.008586066,0,0.008586066,0.999963139,0,0.000171721,0.019999263,0.991435061,0.1305958,-0.001121345,-0.130600614,0.991398516,-0.008512527,0,0.008586066,0.999963139
0.6,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999946638,-0.010330577,0,0.010330577,0.999946638,0,0.000206612,0.019998933,1,0,0,0,0.999946638,-0.010330577,0,0.010330577,0.999946638,0,0.000206612,0.019998933,0.979762656,0.200152098,-0.002067797,-0.200162779,0.979710374,-0.010121513,0,0.010330577,0.999946638
0.7,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999927089,-0.012075457,0,0.012075457,0.999927089,0,0.000241509,0.019998542,1,0,0,0,0.999927089,-0.012075457,0,0.012075457,0.999927089,0,0.000241509,0.019998542,0.960917489,0.276814747,-0.003342908,-0.276834931,0.960847428,-0.011603518,0,0.012075457,0.999927089
0.8,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999904503,-0.013819761,0,0.013819761,0.999904503,0,0.000276395,0.01999809,1,0,0,0,0.999904503,-0.013819761,0,0.013819761,0.999904503,0,0.000276395,0.01999809,0.933062803,0.359679154,-0.004971155,-0.359713506,0.932973698,-0.012894705,0,0.013819761,0.999904503
0.9,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999878992,-0.015556411,0,0.015556411,0.999878992,0,0.000311128,0.01999758,1,0,0,0,0.999878992,-0.015556411,0,0.015556411,0.999878992,0,0.000311128,0.01999758,0.894372474,0.447268884,-0.006958741,-0.447323013,0.894264247,-0.013913226,0,0.015556411,0.999878992
