meanValue,medianValue,standardDeviation,meanAbsoluteDeviation,quantile25,quantile75,signalIQR,sampleSkewness,sampleKurtosis,spectralEntropy,dominantFrequencyValue,dominantFrequencyMagnitude,dominantFrequencyRatio,Error1,Error2,Error3,Error4
0.016046911,0.016042749,0.00012927,0.000111779,0.015937929,0.016160533,0.000222604,0.03688082,1.811634554,-0.272021267,0,0.656359841,0.998611997,1,0,0,0
0.01604598,0.016041072,0.000129295,0.000111911,0.015936976,0.016158304,0.000221328,0.047239672,1.805339989,-0.272019862,0,0.656359826,0.998598274,1,0,0,0
0.016045884,0.016040543,0.000129251,0.000111976,0.015936928,0.016158304,0.000221376,0.048541789,1.800722497,-0.272015212,0,0.656359846,0.99860824,1,0,0,0
0.016042242,0.01603724,0.000128985,0.000111478,0.015933065,0.016153789,0.000220724,0.09142277,1.814466811,-0.272053715,0,0.656359949,0.998608582,1,0,0,0
0.016041584,0.016036594,0.000129677,0.000112178,0.015931072,0.016156483,0.000225411,0.095739945,1.803744795,-0.272035752,0,0.656359641,0.998599895,1,0,0,0
0.01604026,0.016034337,0.000129526,0.00011172,0.015930438,0.016153789,0.000223351,0.103284049,1.814728413,-0.272026084,0,0.656359703,0.998582685,1,0,0,0
0.016040968,0.01603724,0.00012977,0.000111879,0.015930438,0.016155264,0.000224825,0.102842999,1.814525926,-0.272022385,0,0.656359598,0.998599855,1,0,0,0
0.016040557,0.016037518,0.00013018,0.000112618,0.015928823,0.016155264,0.00022644,0.097364986,1.795241065,-0.272047407,0,0.656359413,0.998588512,1,0,0,0
0.016040721,0.016037518,0.000130342,0.000112703,0.015928823,0.016156139,0.000227315,0.086518195,1.793305124,-0.272056191,0,0.656359341,0.99860724,1,0,0,0
0.016042661,0.016039651,0.000130487,0.00011305,0.015930076,0.01615773,0.000227654,0.076059135,1.78163538,-0.27204258,0,0.656359285,0.998610667,1,0,0,0
0.016046412,0.016045256,0.000130161,0.000112846,0.015932992,0.016161358,0.000228366,0.033804699,1.777198478,-0.272011121,0,0.656359444,0.998612492,1,0,0,0
0.016045803,0.016045424,0.000130297,0.000113111,0.015931184,0.016160458,0.000229275,0.039908099,1.772578713,-0.272034475,0,0.656359382,0.998598264,1,0,0,0
0.016046812,0.016046141,0.000129266,0.000111998,0.015934231,0.01615796,0.000223729,0.035464262,1.792489269,-0.272040994,0,0.656359843,0.998608496,1,0,0,0
0.016048553,0.016045889,0.000128706,0.000111499,0.015935364,0.016161157,0.000225793,0.036928747,1.797494064,-0.27201226,0,0.656360095,0.998599243,1,0,0,0
0.016048077,0.016046088,0.000128621,0.000111079,0.015934528,0.016159197,0.00022467,0.030799459,1.807221415,-0.272021204,0,0.656360132,0.998589827,1,0,0,0
0.016049054,0.016046224,0.000129058,0.000111585,0.015934307,0.016162901,0.000228594,0.027964372,1.794271265,-0.272035058,0,0.656359941,0.998626434,1,0,0,0
